coinc_event_id	simulation_id	far	snr	searched_area	searched_prob	offset	runtime
coinc_event:coinc_event_id:531143	sim_inspiral:simulation_id:14620	9.11069936486e-14	14.3484046376	343.533380155	0.579425113734	158.280015029	911.060508013
coinc_event:coinc_event_id:542213	sim_inspiral:simulation_id:16887	9.11069936486e-14	15.5976043876	327.704826565	0.773607554399	30.8091235322	1012.31856418
coinc_event:coinc_event_id:539233	sim_inspiral:simulation_id:16275	9.11069936486e-14	15.6285844069	57.7997928323	0.468403831605	7.83893885144	870.256697893
coinc_event:coinc_event_id:543915	sim_inspiral:simulation_id:17241	9.11069936486e-14	12.6429164061	38.0436072618	0.149044594291	4.45552336771	1090.35128212
coinc_event:coinc_event_id:550744	sim_inspiral:simulation_id:18665	9.11069936486e-14	12.6997768275	638.63689419	0.748033082492	18.2275628467	680.174919844
coinc_event:coinc_event_id:554816	sim_inspiral:simulation_id:19526	9.11069936486e-14	17.8941091367	307.417525485	0.84127681549	25.220158738	1053.05235982
coinc_event:coinc_event_id:556895	sim_inspiral:simulation_id:19965	9.11069936486e-14	13.2968610284	226.884677434	0.598614637491	4.24168074707	1032.229913
coinc_event:coinc_event_id:557056	sim_inspiral:simulation_id:19999	9.11069936486e-14	13.3314908722	110.694963425	0.254686120335	17.7399776901	967.394255161
coinc_event:coinc_event_id:561293	sim_inspiral:simulation_id:20866	9.11069936486e-14	12.3514121822	24.7985044233	0.0650524656085	9.7785924899	566.428442955
coinc_event:coinc_event_id:563661	sim_inspiral:simulation_id:21359	9.11069936486e-14	19.6903597344	462.949129113	0.869558113429	147.755843897	945.112411022
coinc_event:coinc_event_id:516254	sim_inspiral:simulation_id:11483	5.17695487734e-16	14.852309393	2.19576921438	0.307338598825	1.02727802293	2331.90015817
coinc_event:coinc_event_id:564513	sim_inspiral:simulation_id:21528	9.11069936486e-14	14.4576285275	8.27491078325	0.0507994181462	4.14896511713	1141.121593
coinc_event:coinc_event_id:536625	sim_inspiral:simulation_id:15740	5.17695487734e-16	22.1403028506	29.4572398524	0.933454303281	6.05966568248	1784.30135894
coinc_event:coinc_event_id:568013	sim_inspiral:simulation_id:22251	9.11069936486e-14	12.0185494224	302.77518251	0.621424357487	24.6612220862	779.370585918
coinc_event:coinc_event_id:542834	sim_inspiral:simulation_id:17018	5.17695487734e-16	13.6934068732	4.25466143778	0.456941373948	1.59362246714	1660.18492293
coinc_event:coinc_event_id:571722	sim_inspiral:simulation_id:23025	9.11069936486e-14	12.8845216022	256.31241087	0.510654283298	68.628573888	1014.24715281
coinc_event:coinc_event_id:576081	sim_inspiral:simulation_id:23941	9.11069936486e-14	15.3567186517	315.705550231	0.628711414203	44.3298815394	985.743143082
coinc_event:coinc_event_id:577859	sim_inspiral:simulation_id:24312	9.11069936486e-14	24.7675879257	107.055838636	0.692499559729	23.8275073217	766.172421217
coinc_event:coinc_event_id:588750	sim_inspiral:simulation_id:26563	9.11069936486e-14	24.0793722094	176.422147016	0.678815109633	170.271617729	942.750085115
coinc_event:coinc_event_id:588762	sim_inspiral:simulation_id:26565	9.11069936486e-14	12.1126692327	142.824173281	0.292180397726	9.76767830019	966.66408515
coinc_event:coinc_event_id:596094	sim_inspiral:simulation_id:28074	9.11069936486e-14	14.4885284981	52.7574739794	0.123219066974	169.612163827	671.264819145
coinc_event:coinc_event_id:567872	sim_inspiral:simulation_id:22217	5.17695487734e-16	25.8358049271	0.457349466824	0.0732390923367	0.203641377234	2543.71660113
coinc_event:coinc_event_id:596648	sim_inspiral:simulation_id:28191	9.11069936486e-14	17.0170401362	411.463709565	0.757683300882	66.7617352212	949.189651966
coinc_event:coinc_event_id:597027	sim_inspiral:simulation_id:28266	9.11069936486e-14	15.2663735329	41.9515682974	0.196915546425	4.7313987633	1082.15941691
coinc_event:coinc_event_id:567047	sim_inspiral:simulation_id:22053	5.17695487734e-16	21.1522784915	28.4146797775	0.956986934327	5.80774629382	2556.91466403
coinc_event:coinc_event_id:599060	sim_inspiral:simulation_id:28703	9.11069936486e-14	14.9523869849	1655.1788661	0.985304432028	18.2963873587	988.706977129
coinc_event:coinc_event_id:602999	sim_inspiral:simulation_id:29535	6.78649642652e-14	14.8932423792	24.4444274168	0.0987019430104	6.632358407	1753.07990313
coinc_event:coinc_event_id:608589	sim_inspiral:simulation_id:30703	9.11069936486e-14	12.1972428933	499.484630606	0.675991601331	35.4924404002	528.856155157
coinc_event:coinc_event_id:609386	sim_inspiral:simulation_id:30873	9.11069936486e-14	12.9989031742	28.1163371146	0.117328025113	8.01769013071	1086.42101693
coinc_event:coinc_event_id:611099	sim_inspiral:simulation_id:31228	9.11069936486e-14	16.8892677936	21.9003185547	0.144401862264	10.7111097413	673.875036955
coinc_event:coinc_event_id:569374	sim_inspiral:simulation_id:22534	8.62149086762e-15	12.4612593316	4694.61687166	0.999999820999	38.1042597668	2183.83150005
coinc_event:coinc_event_id:618507	sim_inspiral:simulation_id:32779	5.17695487734e-16	15.7310062532	16.8809491375	0.364140390328	1.97611179161	2455.982651
coinc_event:coinc_event_id:622522	sim_inspiral:simulation_id:33635	9.11069936486e-14	20.1319163859	45.2562870254	0.283758208912	2.46506077625	1013.13680792
coinc_event:coinc_event_id:623032	sim_inspiral:simulation_id:33742	9.11069936486e-14	13.6507884435	225.415913555	0.53657986691	7.9841391654	1087.34413099
coinc_event:coinc_event_id:607450	sim_inspiral:simulation_id:30472	5.17695487734e-16	36.0914710862	0.00737660430361	0.00535338470945	0.0390799241472	2623.01026106
coinc_event:coinc_event_id:623525	sim_inspiral:simulation_id:33848	9.11069936486e-14	12.2014111619	212.83962284	0.381100682098	9.68418847729	970.546716928
coinc_event:coinc_event_id:630582	sim_inspiral:simulation_id:1135	9.11069936486e-14	13.076759506	605.970011842	0.643724203848	86.3894356882	911.613484144
coinc_event:coinc_event_id:610602	sim_inspiral:simulation_id:31124	5.17695487734e-16	43.8511401826	0.226215865311	0.0719108627236	0.599129277485	2753.32245684
coinc_event:coinc_event_id:633669	sim_inspiral:simulation_id:3070	9.11069936486e-14	21.2017712203	526.342027253	0.915338559091	141.330133617	643.193500042
coinc_event:coinc_event_id:638080	sim_inspiral:simulation_id:5865	9.11069936486e-14	13.3743102272	206.190843495	0.572675317129	4.87192594137	1011.92718697
coinc_event:coinc_event_id:638898	sim_inspiral:simulation_id:6421	9.11069936486e-14	12.6494747926	164.514668425	0.3985582645	17.1477558613	985.915687084
coinc_event:coinc_event_id:612854	sim_inspiral:simulation_id:31601	5.17695487734e-16	15.6178748006	0.479479279735	0.0490452397498	0.370056908767	2466.85257792
coinc_event:coinc_event_id:637410	sim_inspiral:simulation_id:5439	9.11069936486e-14	19.0981684823	181.474301341	0.750202333333	30.8758106495	563.236887932
coinc_event:coinc_event_id:644826	sim_inspiral:simulation_id:38121	1.3763957721e-13	14.4846610019	39.6664602086	0.557870355497	4.42186312925	1974.70408893
coinc_event:coinc_event_id:647238	sim_inspiral:simulation_id:39607	1.3763957721e-13	16.3042384072	118.133859054	0.598325123034	142.163097214	2239.74849796
coinc_event:coinc_event_id:651826	sim_inspiral:simulation_id:42544	6.78649642652e-14	18.9893572285	225.399521101	0.858367108172	11.8834538263	2487.80442095
coinc_event:coinc_event_id:653497	sim_inspiral:simulation_id:43774	6.78649642652e-14	19.3096277428	40.9385146397	0.396237968471	6.13313836262	2455.65696812
coinc_event:coinc_event_id:655803	sim_inspiral:simulation_id:45345	6.78649642652e-14	12.2322577471	65.4649043265	0.12282554251	7.11887341722	2407.186306
coinc_event:coinc_event_id:653633	sim_inspiral:simulation_id:43857	6.78649642652e-14	38.9327780345	6.940565027	0.233670239846	2.10519777768	2461.51178098
coinc_event:coinc_event_id:655080	sim_inspiral:simulation_id:44858	6.78649642652e-14	16.4857341296	24.1493632446	0.228967358798	7.17671606061	2353.58722091
coinc_event:coinc_event_id:662892	sim_inspiral:simulation_id:7447	9.11069936486e-14	13.979717812	190.899962396	0.361936966361	115.7326079	917.781484842
coinc_event:coinc_event_id:663426	sim_inspiral:simulation_id:7579	9.11069936486e-14	15.5628506227	77.8313716301	0.330175728715	18.3089795106	1056.23256898
coinc_event:coinc_event_id:663500	sim_inspiral:simulation_id:7599	9.11069936486e-14	12.7544809536	712.075088146	0.703986999311	64.8020670286	912.011323929
coinc_event:coinc_event_id:666595	sim_inspiral:simulation_id:8312	9.11069936486e-14	17.1832172612	45.0202356877	0.233042946867	15.2792656772	973.080265999
coinc_event:coinc_event_id:666645	sim_inspiral:simulation_id:8323	9.11069936486e-14	15.833129116	226.189637384	0.544589125187	155.700389279	633.581997871
coinc_event:coinc_event_id:623340	sim_inspiral:simulation_id:33805	5.17695487734e-16	18.0501220821	6.45370914296	0.571280281169	1.86124299394	1460.063236
coinc_event:coinc_event_id:669642	sim_inspiral:simulation_id:8996	9.11069936486e-14	16.1979638841	194.480074351	0.659224408311	4.00280214872	759.047427893
coinc_event:coinc_event_id:669742	sim_inspiral:simulation_id:9017	9.11069936486e-14	15.1984652795	113.055476803	0.41466861872	27.6801547886	1025.85763907
